,eig,first,prob,second,third
185,0.0,6,0.0,1,6
186,0.06666463216145833,6,0.0,2,1
187,0.0,6,0.0,2,2
188,0.06666463216145833,6,0.0,2,3
189,0.06666463216145833,6,0.0,2,4
190,0.06666463216145833,6,0.0,2,5
191,0.06666463216145833,6,0.0,2,6
192,0.0,6,0.0,3,1
193,0.06666463216145833,6,0.0,3,2
194,0.0,6,0.0,3,3
195,0.06666463216145833,6,0.0,3,4
196,0.0,6,0.0,3,5
197,0.0,6,0.0,3,6
198,0.0,6,0.0,4,1
199,0.06666463216145833,6,0.0,4,2
200,0.0,6,0.0,4,3
201,0.06666463216145833,6,0.0,4,4
202,0.0,6,0.0,4,5
203,0.0,6,0.0,4,6
204,0.06666463216145833,6,0.0,5,1
205,0.06666463216145833,6,0.0,5,2
206,0.06666463216145833,6,0.0,5,3
207,0.0,6,0.0,5,4
208,0.06666463216145833,6,0.0,5,5
209,0.06666463216145833,6,0.0,5,6
210,0.0,6,0.0,6,1
211,0.06666463216145833,6,0.0,6,2
212,0.0,6,0.0,6,3
213,0.06666463216145833,6,0.0,6,4
214,0.0,6,0.0,6,5
215,0.0,6,0.0,6,6
